Variable xr: a, t, e 
253,1,1,1 
253,2,1,1 
253,3,1,1 
253,4,1,1 
253,5,1,1 
253,6,1,1 
253,7,1,1 
253,8,1,1 
253,9,1,1 
253,10,1,1 
0,1,2,1 
0,2,2,1 
0,3,2,1 
0,4,2,1 
0,5,2,1 
0,6,2,1 
0,7,2,1 
0,8,2,1 
0,9,2,1 
0,10,2,1 
0,1,3,1 
0,2,3,1 
0,3,3,1 
0,4,3,1 
0,5,3,1 
0,6,3,1 
0,7,3,1 
0,8,3,1 
0,9,3,1 
0,10,3,1 
124,1,4,1 
124,2,4,1 
124,3,4,1 
124,4,4,1 
124,5,4,1 
124,6,4,1 
124,7,4,1 
124,8,4,1 
124,9,4,1 
124,10,4,1 
132,1,5,1 
132,2,5,1 
132,3,5,1 
132,4,5,1 
132,5,5,1 
132,6,5,1 
132,7,5,1 
132,8,5,1 
132,9,5,1 
132,10,5,1 
129,1,6,1 
129,2,6,1 
129,3,6,1 
129,4,6,1 
129,5,6,1 
129,6,6,1 
129,7,6,1 
129,8,6,1 
129,9,6,1 
129,10,6,1 
125,1,7,1 
125,2,7,1 
125,3,7,1 
125,4,7,1 
125,5,7,1 
125,6,7,1 
125,7,7,1 
125,8,7,1 
125,9,7,1 
125,10,7,1 
124,1,8,1 
124,2,8,1 
124,3,8,1 
124,4,8,1 
124,5,8,1 
124,6,8,1 
124,7,8,1 
124,8,8,1 
124,9,8,1 
124,10,8,1 
129,1,9,1 
129,2,9,1 
129,3,9,1 
129,4,9,1 
129,5,9,1 
129,6,9,1 
129,7,9,1 
129,8,9,1 
129,9,9,1 
129,10,9,1 
126,1,10,1 
126,2,10,1 
126,3,10,1 
126,4,10,1 
126,5,10,1 
126,6,10,1 
126,7,10,1 
126,8,10,1 
126,9,10,1 
126,10,10,1 
123,1,11,1 
123,2,11,1 
123,3,11,1 
123,4,11,1 
123,5,11,1 
123,6,11,1 
123,7,11,1 
123,8,11,1 
123,9,11,1 
123,10,11,1 
128,1,12,1 
128,2,12,1 
128,3,12,1 
128,4,12,1 
128,5,12,1 
128,6,12,1 
128,7,12,1 
128,8,12,1 
128,9,12,1 
128,10,12,1 
128,1,13,1 
128,2,13,1 
128,3,13,1 
128,4,13,1 
128,5,13,1 
128,6,13,1 
128,7,13,1 
128,8,13,1 
128,9,13,1 
128,10,13,1 
129,1,14,1 
129,2,14,1 
129,3,14,1 
129,4,14,1 
129,5,14,1 
129,6,14,1 
129,7,14,1 
129,8,14,1 
129,9,14,1 
129,10,14,1 
128,1,15,1 
128,2,15,1 
128,3,15,1 
128,4,15,1 
128,5,15,1 
128,6,15,1 
128,7,15,1 
128,8,15,1 
128,9,15,1 
128,10,15,1 
121,1,16,1 
121,2,16,1 
121,3,16,1 
121,4,16,1 
121,5,16,1 
121,6,16,1 
121,7,16,1 
